id,char_name,command,hit_level,damage,speed,on_block,on_hit,on_counter,notes,is_throw,is_common,gif,punishable
1537,eddy,4~3,m,16,19~22 (19~),-28~25,-17~-14,-17~-14,,,,,
1538,eddy,"4~3, 3","m, m, (RLX)","16,17",cs1~19 a20~,-5~-4,+6~+7,KND,,,,,
1539,eddy,"4~3, 4","m, m (TJ)","16,28",js15~,-2~0,KND,KND,,,,,
1540,eddy,1+2,hh,"12,15","12,27~28",0~+1,+6~+7,+6~+7,,,,,
1541,eddy,1+2~3,"h, m","12,17","12,35",-23~-20,Launch (JG?),Launch (JG?),,,,,
1542,eddy,3+4,m,20,36~40a cs4~19 js21~,-9~-5,KND,KND,,,,,
1543,eddy,"3+4, B (Cancel)",(Special) (TC)(HSP),,a cs4~,,,,,,,,
1544,eddy,"3+4, 3 (Cancel)","m (TC), (Special)",15,35~37a cs4~,-1~+1,+9~+11,+9~+11,,,,,
1545,eddy,f+2,h,11,12,-9,2,2,,,,,
1546,eddy,"f+2, 1","h, h","11,11",12,-9~-8,+2~+3,+2~+3,,,,,
1547,eddy,"f+2, 1, 4","h, h, m","11,11,21",12,-14~-13,KND,Tail spin,Tail spin,,,,-14
1548,eddy,"f+2, 3","h, m (HSP)","11,20",12,-5,6,6,,,,,
1549,eddy,f+3,m (HSP),15,18~20a cs4~11,-3~-1,+7~+9,+7~+9,,,,,
1550,eddy,f+4,m,10,23~28 ar16~,-23~-18,-12~-7,-12~-7,,,,,
1551,eddy,"f+4, B","m, (HSP)",10,23~25 ar16~,-1~+1,+10~+12g,+10~+12,,,,,
1552,eddy,"f+4, 3","m, m","10,17",ar1~,-11~-8,0~+3s,0~+3s,,,,,
1553,eddy,"f+4, 3, 3+4","m, m, mm","10,17,7,21",ar21~,-14~-13,KND,KND,,,,,
1554,eddy,"f+4, 3+4","m, ll (TC), (Special)","10,10,10",cs2~ar1~,-24,KND,KND,,,,,
1555,eddy,f+3+4,mm,"14,16","17~18, 27~30 ar9~25",-4~-1,KND(KND),KND(KND),,,,,
1556,eddy,d/f+1,m,10,13~14,-2~-1,+6~+7,+6~+7,,,,,
1557,eddy,"d/f+1, F","m, (HSP)",10,13~14a,-8~-7,+1~+2,+1~+2,,,,,
1558,eddy,"d/f+1, 1","m, h","10,8",13~14,-4,8,9,,,,,
1559,eddy,d/f+2,m,15,15~16,-9~-8,SH,Launch (JG?),,,,,
1560,eddy,d/f+3,"m, (HSP)",15,15~18a,-10~-7,+1~+4s,KND,,,,,
1561,eddy,"d/f+3, D","m, (RLX)",15,15~18a,-12~-9,-1~+2s,KND,,,,,
1562,eddy,d/f+4,l,17,18,-14,-1,KND,,,true,,
1563,eddy,d/f+3+4,m,17,15~18,-23~-20,Launch (JG?),Launch (JG?),,,true,,-23
1564,eddy,d+2,m,11,17~18,-9~-8,+2~+3,+2~+3,,,,,
1565,eddy,"d+2, 3","m, m, (RLX)","11,18",cs4~11,-5~-2,+14~+17s,KND,,,,,
1566,eddy,"d+3~3 or f, f+3~3","m, (RLX)",21,20~21 (22~) ar~13,-14~-13,Launch,Launch,,,,,
1567,eddy,d+3~4,l (TC),15,21~23 (21~) cs6~,-13~-11,+3~+5s,+3~+5s,,,,,
1568,eddy,d+4,l (TC),11,15~16s cs4~,-16~-15,-5~-4,-5~-4,,,,,
1569,eddy,"d+4, 3","l (TC), m","11,24",15~16 4~,-13~-12s,-8~-7s,-8~-7s,,,,,-13s
1570,eddy,d/b+2,l (TC),13,18s cs4~,-18,-7,-7,,,,,
1571,eddy,"d/b+2, 3","l (TC), m","13,22",18 4~,-23~-22,Launch (JG?),Launch (JG?),,,,,
1572,eddy,d/b+3,l (TC),10,23~29s cs6~,-18~-12,-2~+4,-2~+4,,,,,
1573,eddy,"d/b+3, B","l (TC), (HSP)",10,23~29s cs6~,-18~-12,-2~+4,-2~+4,,,,,
1574,eddy,"d/b+3, 3","l (TC), m","10,25",cs1~ ar26~,-15~-8,+3~+10s,KND,,,,,
1575,eddy,"d/b+3, n+3","l (TC), m (TC), (RLX)","10,17",cs1~15 ar16~,-5~-4,+6~+7,KND,,,,,
1576,eddy,"d/b+3, 4","l (TC), h","10,17",1~15 16~,-3~+1,+8~+12(KND),CS(KND),,,,,
1577,eddy,"d/b+3, d/b+4","l (TC), l (TC)","10,15",s cs1~,-7~-5,+9~+11,+9~+11,,,,,
1578,eddy,"d/b+3, d/b+4, B","l (TC), l (TC), (HSP)","10,15","s,a cs1~",-9~-7,+7~+9,+7~+9,,,,,
1579,eddy,"d/b+3, d/b+4~3","l (TC), m, (RLX)","10,21",ar40~,-14~-13,Launch,Launch,,,,,
1580,eddy,"d/b+3, d/b+4, 4","l (TC), l (TC), l (TC)","10,15,15",cs1~ ar19~32,-14~-12,+10~+12,+10~+12,Tail spin,,,,
1581,eddy,"d/b+3, d/b+4, 4, B","l (TC), l (TC), l (TC), (HSP)","10,15,15",cs1~ ar19~,-20~-18,+4~+6,+4~+6,Tail spin,,,,
1582,eddy,"d/b+3, d/b+4, 1+2","l (TC), l (TC), m","10,15,11",cs1~19,-14~-12,+2~+4,+4~+6,,,,,
1583,eddy,d/b+4,m,18,18 cs4~,-17,KND,KND,,,,,
1584,eddy,"d/b+4, 4, ,","m, m, , ","18,19,19,,",18 4~,-15,KND,KND,,,,,
1585,eddy,"d/b+4, 4, 4, 4, ,","m x 4, , ","18,19,19,20,,",18 4~,-13,KND,KND,"Rage art, Rage art",,,,
1586,eddy,"d/b+4, b+4","m (TC), m, (HSP)","15,21",18 4~,-14,0,0,,,,,
1587,eddy,d/b+1+2,m,15,30~31,-7~-6,KND,KND,,,,,
1588,eddy,d/b+3+4,mm?,"12,12","30~31,41",-10,+11gs,KND(CS),,,,,
1589,eddy,"d/b+3+4, B","mm, (HSP)","12,12","30,41",-33,-12,KND,,,,,
1590,eddy,"d/b+3+4, D","mm, (RLX)","12,12","30,41",-13,8,KND,,,,,
1591,eddy,"d/b+3+4, 4","mm, h","12,12,10","30,41",-6,8,8,,,,,
1592,eddy,"d/b+3+4, 4, 3","mm, h, h","12,12,12,25","30,41",-7,KND,KND,,,,,
1593,eddy,b+1,m,16,14~15,-8~-7,+8~+9,+8~+9,,,,,
1594,eddy,"b+1, 4","m, m","16,10",ar16~,-23~-18,-12~-7,-12~-7,,,,,
1595,eddy,b+2,m,14,14,-11,3,3,,,,,
1596,eddy,"b+2, 4","m, h","14,23",15,-9~-8,KND,KND,Tail spin,,,,
1597,eddy,b+3,m,10,13,-8,8,8,,,,,
1598,eddy,"b+3, 3","m, m, (RLX)","10,21",ar~14,-14~-13,Launch,Launch,,,,,-14
1599,eddy,"b+3, f","m, m","10,15",~14,-14,2,2,,,,,
1600,eddy,b+4,h,17,20~23,-6~-3,+5~+8(KND),CS(KND),,,,,
1601,eddy,"b+4, 3","h, l (TC)","17,12",20~23s,-21~-15,-12~-6,-12~-6,,,,,
1602,eddy,"b+4, 4","h, mm","17,7,17",20~23a,-9~-5,KND,KND,,,,,
1603,eddy,"b+4, 4, D","h, mm, (RLX)","17,7,17",20~23a,-16,KND,KND,,,,,
1604,eddy,"b+4, 4, 3+4","h, mm, m (TJ)","17,7,17,12",20~23,-13~-10,-2~+1s,-2~+1s,,,,,
1605,eddy,b+1+2,m,24,22,-8,KND,KND,,,,,
1606,eddy,u/b+3,m,31,30,+-2~+2s,+6~+10s,+6~+10s,Power crush,,,,
1607,eddy,u+3,m (TJ),30,38~42 js10~,-24~-20,KND,KND,,,,,
1608,eddy,u+4,(Special) (TJ),,"a,s",,,,,,,,
1609,eddy,"u+4, 3","(Special) (TJ), l (TC), (RLX)",20,44(44~) js7~,4,KND,KND,,,,,
1610,eddy,"u+4, 4","(Special) (TJ), h (TJ), (RLX)",27,30(30~) js1~,-3,KND,KND,,,,,
1611,eddy,u/b+3+4,m (TJ),15,22~23 js8~,-9~-8,+2~+3,+2~+3,,,,,
1612,eddy,u+3+4,m (TJ),15,20~23 js8~,-1~+2,KND,KND,,,,,
1613,eddy,"u/b+3+4, D","m (TJ), (RLX)",15,22~23 js8~,–,–,–,,,,,
1614,eddy,"u+3+4, D","m (TJ), (RLX)",15,20~23 js8~,–,KND,KND,,,,,
1615,eddy,u/f+3,m (TJ),25,26~28 js13~,-11~-9s,-9~-7s,-9~-7s,,,,,
1616,eddy,"u/f+3, D","m (TJ), (RLX)",25,26~27,-14~-13s,-12~-11s,-12~-11s,,,,,
1617,eddy,"u/f+3, 3","m (TJ), m","25,17",26~27,-23~-20,Launch (JG?),Launch (JG?),,,,,
1618,eddy,"u/f+3, 3+4","m (TJ), l (TC), (RLX)","25,15",26~27a,-14,KND,KND,,,true,,
1619,eddy,u/f+4,m (TJ),25,22~25 js7~,-8~-5,KND,KND,,,,,
1620,eddy,u/b or u+1+2,h (TJ),20,16~18 js9~,-3~-1s,KND,KND,,,,,
1621,eddy,u/f+1+2,h (TJ),20,16~18(b) js9~,-3~-1s,KND,KND,,,,,
1622,eddy,u/f+3+4,mm (TJ),"10,20","17~18, 27 js14~",-10,KND,KND,,,,,
1623,eddy,"f, F+2",m,19,18~19 (19~),-4~-3,+6~+7,+6~+7,Homing,,,,
1624,eddy,"f, F+2, 3","m, l","19,18",18~19 (19~),-14,+5~+9s,KND,,,,,-14
1625,eddy,"f, F+3",m (TJ),30,24~25 (25~) ar11~20,-15~-14,KND,KND,Wall bounce,,,,
1626,eddy,"f, F+3, B","m (TJ), (HSP)",40,26~27 (27~) ar13~22,-32~-31,KND,KND,,,,,
1627,eddy,"f, F+3, D","m (TJ), (RLX)",40,26~27 (27~) ar13~22,-3~-2,KND,KND,,,,,
1628,eddy,"f, F+3, B+3+4","m (TJ), m, (HSP)","40,30",26~27 (27~) 13~22a,-9,Launch (JG?),Launch (JG?),,,,,
1629,eddy,"f, F+4","m, (HSP)",25,19~20 (20~),-7~-6,Launch (JG?),Launch (JG?),,,,,
1630,eddy,"b, B+2+3",!! (TJ),"40,40","76~80,86 (77~)",KND,KND,KND,,,,,
1631,eddy,"b, B+2+3 (First hit only)",! (TJ),40,76~80 (77~),-68~-64,-68~-64,-68~-64,,,,,
1632,eddy,"f, f, f+3 or WR+3",l (RLX),20,24~30a (27~),-24~-18,+6~+12,KND,,,true,,
1633,eddy,WS+1,h,7,13,-6,5,5,,,,,
1634,eddy,"WS+1, 3","h, m, (RLX)","7,20",ar~15,-14,Launch,Launch,,,,,-14
1635,eddy,"WS+1, 4","h, h","7,20",~15,-9,+10kg,+10kg,Tail spin,,,,
1636,eddy,WS+2,m,12,15~16,-12~-11,Launch (JG?),Launch (JG?),,,true,,-12
1637,eddy,"WS+3 or d, f+3",m,15,19~24 (19~) js17~,-13~-8,Launch (JG?),Launch (JG?),,,true,,
1638,eddy,WS+4,m,15,11~14,-3~0,+8~+11,+8~+11,,,,,
1639,eddy,FC+d/b or d+1+2,m (TC),11,19~21,-14~-12,+2~+4,+4~+6,,,,,
1640,eddy,"FC+d/b or d+1+2, 1+2","m (TC), m","11,12",19~21,-14~-12,KND,KND,,,,,
1641,eddy,WS+3+4 FC+3+4,m (TJ),18,22~27a,-17~-12,+2~+7(s),KND,,,,,
1642,eddy,WS+3+4B FC+3+4B,"m, (HSP)",18,22~27a,-21~-16,-2~+3 (s),KND,,,,,
1643,eddy,WS+3+4D FC+3+4D,"m, (RLX)",18,22~27a,-8~-3,+11~+16 (s),KND,,,,,
1644,eddy,FC+d/f+4,"l (TC), (RLX)",19,24,-26(16a),4,KND,,,,,
1645,eddy,FC+d/b+4,m (TC),19,18s cs1~,-10,4,CS,,,,,
1646,eddy,BT 3+4,m (TJ),30,47~50,+1~+4,KND,KND,,,,,
1647,eddy,1+2+3+4,(Special) (TJ),,a,,,,,,,,
1648,eddy,SS 2,m,18,24~25 (25~),+3~+4s,+8~+9s,KND,,,,,
1649,eddy,SS 3,"m (TC), (RLX)",22,25~26 (26~) cs4~13 ar14~,-5~-4,+6~+7,KND,,,,,
1650,eddy,"SS 3, D (Cancel)",(Special) (TC)(RLX),,25~26 (26~) 4~13 14~,,,,,,,,
1651,eddy,"SS 3, B (Cancel)",(Special) (TC)(HSP),,25~26 (26~) 4~13 14~,,,,,,,,
1652,eddy,"SS 3n, B","m (TC), (HSP)",17,25~26 (26~) cs4~13 ar14~,-21~-20,-10~-9,KND,,,,,
1653,eddy,"SS 3n, B, 3+4","m (TC), m, (HSP)","17,20",25~26 (26~) 4~13 14~a,-9,Launch (JG?),Launch (JG?),,,,,
1654,eddy,SS 4,ll (TC),"10,7","21~22, 33~34 (22~) cs3~",-1~0,+4~+5,+4~+5,,,,,
1655,eddy,SS 4 (First hit only),l (TC),10,21~24 (22~) cs3~,-12~-9,-2~+1,-2~+1,,,,,
1656,eddy,SS 4 (Second hit only),l (TC),7,30~36 (31~) cs1~,-4~+2,+2~+8,+12~+18,,,,,
1657,eddy,"SS 4, B","l (TC), (HSP)",10,21~24 (22~),–,+,+,,,,,
1658,eddy,"SS 4, 3","l (TC), l (TC)","10,25",21~24 (22~),-45,KND,KND,,,,,-45
1659,eddy,"SS 4, 3+4","l (TC), m","10,18",21~24 (22~)a,-17~-12,+2~+7(s),KND,,,,,
1660,eddy,SS 4~3,h (TJ),50,34(36~),-12,KND,KND,,,,,
1661,eddy,SS 4~3B,"h (TJ), (HSP)",50,34(36~),-23,KND,KND,,,,,
1662,eddy,SS 3+4,hm (TJ),"6,6","13~15, 19(14~)",-12,YKU,YKU,,,,,
1663,eddy,"SS 3+4, D",hm,"6,6","13~15, 19s(14~)",-12,YKU,YKU,,,,,
1664,eddy,SS 3+4 (First hit only),h,6,13~15 (14~),-18~-16,-7~-5,-7~-5,,,,,
1665,eddy,"SS 3+4, D (First hit only)",h,6,13~15s (14~),-18~-16,-7~-5,-7~-5,,,,,
1666,eddy,"SS 3+4, 3+4","hm (TJ), m (TJ)","6,6,25",13~15 (14~),-34~-28s,KND,KND,,,,,
1667,eddy,"SS 3+4, 3+4, 3+4","hm (TJ), m (TJ), m (TJ)","6,6,25,20",13~15 (14~),-13~-8,KND,KND,,,,,
1668,eddy,"SS 3+4, 3+4, 3+4, B (Cancel)","hm (TJ), m (TJ), (HSP)","6,6,25",13~15 (14~),-30~-24,KND,KND,,,,,
1669,eddy,"SS 3+4, 3+4, 3+4, u/f+3+4","hm (TJ), m (TJ), m (TJ), m (TJ)","6,6,25,20,20",13~15 (14~),-6~-5,KND,KND,,,,,
1670,eddy,"SS 3+4, 3+4, 3+4, u/f+3+4, D","hm (TJ), m (TJ), m (TJ), m (TJ), (RLX)","6,6,25,20,20",13~15 (14~),-26~-25,KND,KND,,,,,
1671,eddy,SS 1+4,l,20,23~30 (24~),-29~-22,KND,KND,,,,,
1672,eddy,f+1+2 or From certain moves (to HSP),(HSP),,23~30 (24~),,,,,,,,
1673,eddy,FC+d/f+1+2,(HSP),,23~30 (24~),,,,,,,,
1674,eddy,Grounded face up 1+2,(HSP),,23~30 (24~),,,,,,,,
1675,eddy,After HSP Wait and don’t do anything,(RLX),,23~30 (24~),,,,,,,,
1676,eddy,HSP f+1+2,(HSP),,23~30 (24~),,,,,,,,
1677,eddy,"HSP F+1+2 or f, f+1+2","(Special), m(HSP)",18,19~21 (27~),+2~+4,KND,KND,,,,,
1678,eddy,HSP 1,m,20,23 pc8~22,-12s,KND,KND,Power crush,,true,,-12s
1679,eddy,HSP 2,m,10,18s,-2,5,9,,,,,
1680,eddy,"HSP 2, 4","m, ll (TC)","10,10,7",18,-1~0 (-12),+4~+5,+4~+5,,,,,
1681,eddy,HSP 3,"m (TC), (RLX)",17,32,-5,6,KND,,,,,
1682,eddy,HSP 3~4,"ll (TC), (RLX)","10,10","25,34 (26~)",-24,KND,KND,,,,,
1683,eddy,HSP 4,"mh, (HSP)","5,20","12~13, 18~20a",-6~-4,+19k,+19k,Tail spin,,,,
1684,eddy,"HSP 4, 3+4","mh, ll (TC), (RLX)","10,12,10,10","12~13, 18~20",-24,KND,KND,,,,,
1685,eddy,HSP 3+4,h(Throw),40,26,,Throw(KND),,,,,,
1686,eddy,HSP f+1,h,7,21,1,8,8,,,,,
1687,eddy,HSP f+3+4,m (TJ),20,18~28,-12~-2,KND,KND,,,,,
1688,eddy,HSP D,"(Special) (TC), (HSP)",,18~28,,,,,,,,
1689,eddy,"HSP D, 3+4","(Special) (TC), m, (HSP)",20,cs1~15 Air(26~),-9,Launch,Launch,,,,,
1690,eddy,HSP b+3,"l (TC), (RLX)",15,22,-14,7,KND,,,,,
1691,eddy,HSP u or d,(HSP),, RC,,,,,,,,
1692,eddy,HSP u or d 3 or 4,"(Special), l (TC)(HSP)",25,36s(46~),-45,KND,KND,,,,,
1693,eddy,HSP u or d+3 or u or d+4,"m, (HSP)",10,16~17 Air,-13~-12,-2~-1,KND,,,,,
1694,eddy,"HSP u or d+3, D or u or d+4, D","m, (RLX)",10,16~17 Air,-2~-1,+9~+10,KND,,,,,
1695,eddy,d+3+4 or From certain moves (to RLX),(RLX),, Air,,,,,,,,
1696,eddy,RLX u or d,(RLX),,,,,,,,,,
1697,eddy,RLX b or f,(RLX),,,,,,,,,,
1698,eddy,RLX 1,l (TC),10,17,-12,-1,-1,,,,,
1699,eddy,"RLX 1, 3","l (TC), m, (HSP)","10,15",17,-14~-12,-3~-1s,KND,,,,,
1700,eddy,"RLX 1, 3, D","l (TC), m, (RLX)","10,15",17,-12~-10,-1~+1s,-1~+1s,,,,,
1701,eddy,"RLX 1, 4","l (TC), h","10,15",17,-6~-5,+5~+6(KND),CS,,,,,
1702,eddy,RLX 2,m (TC),15,20~21,-6~-5,+5~+6,+5~+6,,,,,
1703,eddy,"RLX 2, 3","m (TC), m","15,15",20~21,-13~-12,Launch (JG?),Launch (JG?),,,,,
1704,eddy,"RLX 2, f+3","m (TC), m","15,30",20~21a,-14,KND,KND,Wall bounce,,,,
1705,eddy,"RLX 2, 4","m (TC), m","15,10",20~21a,-23~-22,-12~-11,-12~-11,,,,,
1706,eddy,RLX 3,l (TC),12,16~17s,-15~-14,+1~+2,+1~+2,,,,,
1707,eddy,"RLX 3, n+4","l (TC), m (TJ)","12,28",16~17,-6~-5,KND,KND,,,,,
1708,eddy,RLX 3~4,m (TC),20,17~18a (18~),-24~-23,Launch (JG?),Launch (JG?),,,true,,
1709,eddy,RLX 4,m,17,15s,-13,+14kg,+14kg,"Homing, Tail spin",,,,-13
1710,eddy,"RLX 4, 3+4","m, m (TJ)","17,20",15,-7~-2,KND,KND,,,,,
1711,eddy,RLX 4~3,"ll (TC), (HSP)","7,8","15~17, 42~44a (16~) cs1~ar1~",-37~-35,KND,KND,,,true,,
1712,eddy,RLX 4~3 (Second hit only),"l (TC), (HSP)",8,42~44a (16~) cs1~ar1~,-4~-2,KND,KND,,,,,
1713,eddy,RLX 1+2,m (TC),11,18~20,-14~-12,+2~+4,+4~+6,,,,,
1714,eddy,RLX 3+4,m (TJ),20,35~36,-7~-6,KND,KND,,,,,
1715,eddy,"RLX 3+4, B (Cancel)","(Special) (TJ), (HSP)",,35~36,,,,,,,,
1716,eddy,"RLX 3+4, 3 (Cancel)","m, (HSP)",15,32~33,-2~-1,+9~+10,+9~+10,,,,,
1717,eddy,RLX f+3+4,m (TJ),20,18~28,-12~-2,KND,KND,,,,,
1718,eddy,RLX d/b+3j,l,10,22,-12,5,KND,,,,,
1719,eddy,RLX b+1+2,(HSP),,22,,,,,,,,
1720,eddy,f+1,h,7,10,1,8,8,,,,,
1721,eddy,d/b or d+1,Sm (TC),5,10s cs4~,-5,6,6,,,,,
1722,eddy,d+3,l (TC),12,16~17s cs4~,-15~-14,-4~-3,-4~-3,,,,,
1723,eddy,d/b or d+1 ,Sm (TC),5,10s cs4~,-5,6,6,,,,,
1724,eddy,u/b or u or u/f+1,m (TJ),12,18 js9~,-8,3,3,,,,,
1725,eddy,u/b or u or u/f+2,h,17,15~16,-12~-11,+9~+10g,+9~+10g,,,,,
1726,eddy,u/b+4,m (TJ),11,15~17 js9~,-19~-17,-8~-6,-8~-6,,,,,
1727,eddy,"u/f, n+4",m,25,"23(29,35) js9~33",-11(-13),Launch (JG?),Launch (JG?),,,,,
1728,eddy,FC+1,Sm (TC),5,10s cs1~,-5,6,6,,,,,
1729,eddy,FC+2,Sm (TC),8,11s cs1~,-4,7,7,,,,,
1730,eddy,FC+3,l (TC),12,16~17s cs1~,-15~-14,-4~-3,-4~-3,,,,,
1731,eddy,FC+d+4,l (TC),10,13s cs1~,-14,-3,-3,,,,,
1732,eddy,SS 1,h,7,10(11~),1,8,8,,,,,
1733,eddy,BT 1 or 2,h,15,8,-8,3,3,,,,,
1734,eddy,BT 3 or 4,h,25,10,-8,KND,KND,,,,,
1735,eddy,BT d+1 or 2,Sm,10,10s cs1~,-2,9,9,,,,,
1736,eddy,BT d+3 or 4,l,12,10s cs1~,-11,3,3,,,,,
1737,eliza,in rage b+3+4,m (TJ),55,20 js13~17 pc8~17,-22,KND,KND,Rage art,,,,
1738,eliza,1 or BT 1 or 2,h,7,10,1,8,8,,,,,
1739,eliza,"1, 1","h, h","7,7",10,-3,4,4,,,,,
1740,eliza,"1, 2","h, h","7,10",10,-1,5,5,,,,,
1741,eliza,"1, 2, 3","h, h, m (TJ)","7,10,20",js19~,-22~-21,Launch,Launch,,,,,
1742,eliza,"1, 2, 4","h, h, h","7,10,20",19~,-4~-3,KND,KND,Tail spin,,,,
1743,eliza,2 or f+2,h,9,14,-3,8,8,,,,,
1744,eliza,"2, 2","h, m","9,15",14,-12,2,2,,,,,
1745,eliza,3,h,12,13,-8,8,8,,,,,
1746,eliza,4 or BT 3 or 4,h,21,13,-5,KND,KND,"Homing, Tail spin",,,,
1747,eliza,1+2,m,26,13~14,-17~-16,KND,KND,,,,,
1748,eliza,3+4,l (TJ),20,33~34a js9~23 cs23~,-27,KND,KND,Homing,,true,,
1749,eliza,f+3,m,17,16~17,-9~-8,0~+1,+25g(KND),,,,,
1750,eliza,f+1+2,m,21,25 pc8~24,-13,KND,CS,"Homing, Power crush",,true,,
1751,eliza,d/f+1,m,12,13,-3,3,3,,,,,
1752,eliza,"d/f+1, 2","m, m","12,17",13,-13,-2,KND,,,,,
1753,eliza,"d/f+1, 4","m, h","12,14",13,-9,2,2,,,,,
1754,eliza,d/f+2,m,10,16~17,-9~-8,+2~+3,+2~+3,,,,,
1755,eliza,"d/f+2, 3","m, m (TJ)","10,10",js14~,-18~-17,Launch,Launch,,,true,,-18
1756,eliza,d/f+3,m (TJ),24,25~26 js9~,-6~-5,KND,KND,"Homing, Wall bounce",,,,
1757,eliza,d/f+4,m,16,12,-8,3,3,,,,,
1758,eliza,d/b or d+1 or FC+1 or BT d+1 or d+2,Sm,5,10s cs4or1~,-5,6,6,+3 on hit from side or behind,,,,
1759,eliza,d/b or d+2 or FC+2,Sm (TC),8,12s cs4or1~,-7,4,4,,,,,
1760,eliza,d/b or d+3 or FC+3 (Close),l (TC),10,15s cs4or1~,-16,-5,-5,,,,,
1761,eliza,d/b or d+3 or FC+3,l (TC),7,15s cs4or1~,-16,-5,-5,,,,,
1762,eliza,d/b or d+4 or FC+4 or BT d+3 or d+4,l (TC),17,20~21s cs6or1~,-27,+5~+6s,KND,,,true,,
1763,eliza,d+1+2 or FC+d/b or d+1+2 Grounded face up d+1+2,(Special) (TC),,20~21 61~,,,,,,,,
1764,eliza,d/b+1+2,! (TJ),30,51~52 js21~50,KND,KND,KND,,,,,
1765,eliza,b+1,m,13,14,-8,3,3,,,,,
1766,eliza,"b+1, 2","m, m","13,13",14a,-13~-11,Launch (JG?),Launch (JG?),,,true,,
1767,eliza,"b+1, 2, 4","m, m, m (TJ)","13,13,23",js1~,-13~-12s,KND,KND,,,true,,-13
1768,eliza,b+2,h,10,11,-4,2,2,,,,,
1769,eliza,"b+2, 3","h, m","10,15",11,-9~-8,+3~+4,uKZD,,,,,
1770,eliza,b+3,h,12,16,-9,2,2,,,,,
1771,eliza,"b+3, 1","h, h","12,20",16,-4~-3,+15~+16kg,+15~+16kg,Tail spin,,,,
1772,eliza,"b+3, 4","h, m","12,20",16,-14~-13,KND,KND,,,,,
1773,eliza,b+4,Sm,12,15,-14,-2,-2,,,,,
1774,eliza,b+1+2,hm,"5,20","27~28,37~38",-13~-12,KND,KND,,,,,
1775,eliza,"f, F+2 When hit , b",m,25,14(15~),-9,KND,KND,,,,,
1776,eliza,"f, f+2 When hit or MG 2 When hit ",(Special),,14(15~),,,,,,,,
1777,eliza,"f, F+3",h,12,16~17 (17~),-10~-9,KND,KND,Homing,,,,
1778,eliza,"f, F+3, 3","h, m","12,24",16~17 (17~),-13,KND,KND,Homing,,,,
1779,eliza,"f, F+3, 4","h, h (TJ)","12,21",js5~,-7~-6,KND,KND,Tail spin,,,,
1780,eliza,"f, F+4",m (TJ),10,15~16 (16~) js12~,-16~-15,-5~-4,-5~-4,,,,,
1781,eliza,"f, F+4, 2","m (TJ), m","10,10",js1~,-14~-13,-6~-5 (BU),-6~-5 (BU),,,,,
1782,eliza,"f, F+4, 2, qcf+1","m (TJ), m, Sm(DW)","10,10,20",1~,-10~+10,KND,KND,,,,,
1783,eliza,"f, F+4, 2, qcf+2","m (TJ), m, Sm(DW)","10,10,20",1~,-13~+17,-5~+25,-5~+25,,,,,
1784,eliza,"f, F+4, 2, qcf+1, f or d/f+3+4","m (TJ), m, Sm, (MG)","10,10,20",1~,2,KND,KND,Press down to recover crouching,,,,
1785,eliza,"f, F+4, 2, qcf+2, f or d/f+3+4","m (TJ), m, Sm, (MG)","10,10,20",1~,+2~+32,+10~+40,+10~+40,Press down to recover crouching,,,,
1786,eliza,"f, F+4, 2, qcf+1+2","m (TJ), m, SmSm","10,10,20,20",1~,5,KND(KND),KND(KND),Press down to recover crouching,,,,
1787,eliza,"f, F+1+2",mh (TJ)l,"5,6,20","18,31,47 (19~) js25~40",-14,KND,KND,,,true,,-14
1788,eliza,f+3+4,,,33 (ex MG),,,,,,,,
1789,eliza,"f+3+4, D",,,30s (ex MG),,,,,,,,
1790,eliza,"f, f, f+1 or WR+1",h,30,18~20 (21~),+6~+8,KND,KND,Tail spin,,,,
1791,eliza,"f, f, f+3 or WR+3",m,27,24~28a (27~) js3~,0~+4,KND,KND,,,,,
1792,eliza,WS+1,m,10,14,-7,4,4,,,,,
1793,eliza,WS+2,m,18,15~16a,-9~-8,KND,JG,,,,,
1794,eliza,WS+3,m (TJ),20,15~16a js15~,-22~-21,Launch (JG?),Launch (JG?),,,,,-22
1795,eliza,WS+4,m,15,11~12,-5~-4,+6~+7,+6~+7,,,,,
1796,eliza,FC+D (One second),,,11~12,,,,,,,,
1797,eliza,Jump 1 BT u or u/f+1,m,10,7a(12~) js1~,-25~0,-15~+10,-15~+10,,,,,
1798,eliza,Jump 2 BT u or u/f+2,m,15,9a(12~) js1~,-17~+8,-7~+18,-7~+18,,,,,
1799,eliza,Jump 3 BT u or u/f+3,m,10,7a(12~) js1~,-25~0,-15~+10,-15~+10,,,,,
1800,eliza,Jump 4 BT u or u/f+4,m,15,9a(14~) js1~,-18~+7,-8~+17,-8~+17,,,,,
1801,eliza,Grounded face up 1+2,(Special) (TC),,9(14~) 1~,,,,,,,,
1802,eliza,2+3+4,(Special),,9(14~) 1~,,,,,,,,
1803,eliza,f+4,(MG),,9(14~) 1~,,,,Press down to recover crouching,,,,
1804,eliza,MG 1,h,11,10(25~),-4,2,2,,,,,
1805,eliza,"MG 1, 2","h, h","11,12",10(25~),-8,1,1,,,,,
1806,eliza,"MG 1, 2, 1+2","h, h, m","11,12,21",10(25~),-13~-12,KND,KND,,,,,
1807,eliza,EX MG 2,m (Special) (DS),25,14(29~),-9,KND,KND,Wall bounce (if transitioned),,,,
1808,eliza,MG 3,h,12,16~17 (31~),-10~-9,KND,KND,Homing,,,,
